NO,TRACTOR,TRAILER,TRUCK MAKE,TRUCK MODEL
1,KBP 643K,ZC 8154,Mercedes-Benz,Axor MP1
2,KBP 774J,ZD 0335,Mercedes-Benz,Axor MP1
3,KBJ 745Z,ZD 2383,Mercedes-Benz,Axor MP1
4,KBJ 746Z,ZD 2381,Mercedes-Benz,Axor MP1
5,KCE 843V,ZD 2173,Mercedes-Benz,Axor MP2
7,KBP 721U,ZB 5290,Mercedes-Benz,Axor MP1
8,KBW 547W,ZE 5507,Mercedes-Benz,Axor MP2
9,KCN 401N,ZD 4461,Mercedes-Benz,Axor MP2
10,KBN 607P,ZB 3158,Mercedes-Benz,Axor MP1
11,KBC 213C,ZD 0280,Mercedes-Benz,Axor MP1
12,KBQ 650X,ZB 3136,Mercedes-Benz,Axor MP1
13,KBC 103L,ZB 5530,Mercedes-Benz,Axor MP1
14,KBJ 204C,ZD 1461,Mercedes-Benz,Actros MP2
15,KBR 258V,ZD 9042,Mercedes-Benz,Axor MP2
16,KBH 661U,ZD 1320,Mercedes-Benz,Actros MP1
17,KBL 727B,ZC 7207,Mercedes-Benz,Axor MP1
18,KBF 433N,ZD 3468,Mercedes-Benz,Actros MP1
19,KAX 507Z,ZE 4271,Mercedes-Benz,Actros MP1
20,KBZ 481L,ZE 7771,Mercedes-Benz,Axor MP2
21,KBH 668U,ZD 1322,Mercedes-Benz,Axor MP1
22,KBH 662U,ZD 0772,Mercedes-Benz,Actros MP1
23,KBJ 278V,ZB 9265,Mercedes-Benz,Axor MP1
24,KBW 528K,ZC 6551,Mercedes-Benz,Axor MP2
25,KCF 203Q,ZF 2583,Mercedes-Benz,Axor MP2
26,KBH 665U,ZD 0776,Mercedes-Benz,Actros MP1
27,KBK 010G,ZD 1682,Mercedes-Benz,Axor MP1
28,KAT 114R,ZB 9555,Mercedes-Benz,Actros MP2
29,KCF 205Q,ZF 2585,Mercedes-Benz,Axor MP2
30,KBH 391X,ZF 4037,Mercedes-Benz,Actros MP1
31,KCD 026L,ZD 4337,Mercedes-Benz,Axor MP1
32,KBG 282R,ZD 1571,Mercedes-Benz,Axor MP2
33,KBW 526W,ZC 0898,Mercedes-Benz,Axor MP2
34,KBW 550W,ZC 4445,Mercedes-Benz,Axor MP2
35,KBW 543W,ZC 4043,Mercedes-Benz,Axor MP2
36,KCN 396N,ZD 4464,Mercedes-Benz,Axor MP2
37,KBN 613J,ZD 2753,Mercedes-Benz,Axor MP2
38,KCW 664E,ZG 1074,Mercedes-Benz,Axor MP3
39,KAW 126R,ZC 2286,Mercedes-Benz,Actros MP2
40,KBH 071R,ZC 7221,Mercedes-Benz,Axor MP1
41,KBL 128K,ZD 3767,Mercedes-Benz,Axor MP1
42,KBP 754R,,Mercedes-Benz,
43,KBH 663U,ZD 0773,Mercedes-Benz,Actros MP1
44,KBP 072Q,ZE 3694,Mercedes-Benz,Actros MP2
45,KBW 544W,ZE 7181,Mercedes-Benz,Axor MP2
46,KAQ 268U,ZD 1459,Mercedes-Benz,Actros MP1
47,KCD 336Q,ZF 0676,Mercedes-Benz,Axor MP2
48,KBR 255V,ZD 9043,Mercedes-Benz,Axor MP2
49,KBJ 206C,ZD 1458,Mercedes-Benz,Actros MP2
50,KCD 334Q,ZF 0377,Mercedes-Benz,Axor MP2
51,KBH 667U,ZD 0771,Mercedes-Benz,Actros MP1
52,KCC 871S,ZC 6216,Mercedes-Benz,Axor MP2
53,KCF 204Q,ZF 2584,Mercedes-Benz,Axor MP2
54,KCF 202Q,ZF 2582,Mercedes-Benz,Axor MP2
55,KCC 133S,ZE 1083,Mercedes-Benz,Axor MP2
56,KCC 135S,ZF 0015,Mercedes-Benz,Axor MP2
57,KCA 319M,ZC 3522,Mercedes-Benz,Axor MP2
58,KCN 395N,ZD 0585,Mercedes-Benz,Axor MP2
59,KBS 897Y,ZE 2097,Mercedes-Benz,Axor MP2
60,KBJ 125Z,ZC 2985,Mercedes-Benz,Axor MP2
61,KBH 664U,ZD 0774,Mercedes-Benz,Actros MP1
62,KCD 337Q,ZE 8861,Mercedes-Benz,Axor MP2
63,KBQ 171V,ZF 6844,Mercedes-Benz,Actros MP2
64,KBL 783J,,Mercedes-Benz,Axor MP1
65,KBQ 476,,Mercedes-Benz,Axor MP2
66,KCN 400N,ZD 3940,Mercedes-Benz,Axor MP2
67,KBQ 105Y,ZD 1023,Mercedes-Benz,Axor MP1
68,KBR 833M,,Mercedes-Benz,Axor MP2
69,KBF 423W,ZD 0343,Mercedes-Benz,Actros MP1
70,KCW 661E,ZE 7182,Mercedes-Benz,Axor MP3
71,KCW 663E,ZF 5321,Mercedes-Benz,Axor MP3
72,KBV 312,,Mercedes-Benz,Axor MP2
73,KBH 168R,ZE 4269,Mercedes-Benz,Axor MP1
